lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Coonamble (A)",80,12150,"nsw",3834.9,1731.5,null,169,null
"Cootamundra (A)",261,12200,"nsw",5476.9,2681.0,99,468,1286.1
"Corowa Shire (A)",518,12300,"nsw",4586.1,3112.2,244,623,2101.3
"Cowra (A)",397,12350,"nsw",3728.0,2371.7,240,532,1908.2
"Deniliquin (A)",366,12500,"nsw",5991.4,3792.4,null,494,null
"Dubbo (C)",827,12600,"nsw",3792.7,2070.0,315,1503,820.0
"Dungog (A)",280,12700,"nsw",3482.9,2594.3,104,338,1183.7
"Eurobodalla (A)",1279,12750,"nsw",5299.3,2200.0,703,2437,1855.0
"Fairfield (C)",3242,12850,"nsw",3390.1,1742.2,1936,6560,992.7
"Forbes (A)",270,12900,"nsw",4359.2,2296.5,155,453,1652.5
"Gilgandra (A)",118,12950,"nsw",3963.2,2043.7,57,197,1315.4
"Glen Innes Severn (A)",273,13010,"nsw",3974.2,2224.7,null,411,null
"Gloucester (A)",203,13050,"nsw",3879.0,2663.3,74,242,1405.5
"Gosford (C)",4779,13100,"nsw",3857.7,2351.5,4719,7030,2788.0
"Goulburn Mulwaree (A)",730,13310,"nsw",3665.9,2167.0,427,1134,1469.3
"Great Lakes (A)",1642,13320,"nsw",3837.0,2655.2,674,1789,1797.3
"Greater Hume Shire (A)",313,13340,"nsw",3418.3,2626.5,125,374,1237.7
"Greater Taree (C)",1777,13380,"nsw",3866.6,2642.5,776,2163,1614.5
"Griffith (C)",567,13450,"nsw",4154.6,2181.2,248,1064,990.0
"Gundagai (A)",130,13500,"nsw",5476.9,2681.0,null,234,null
"Gunnedah (A)",380,13550,"nsw",4163.9,2601.9,null,555,null
"Guyra (A)",116,13650,"nsw",4199.0,2071.7,null,210,null
"Gwydir (A)",110,13660,"nsw",3605.7,1586.5,null,212,null
"Harden (A)",115,13700,"nsw",4585.6,2566.3,null,185,null
"Hawkesbury (C)",1412,13800,"nsw",4684.9,2410.5,1267,2921,2008.4
"Hay (A)",84,13850,"nsw",3535.1,2261.2,null,119,null
"Holroyd (C)",1971,13950,"nsw",3680.3,2156.5,2291,3658,2162.0
"Hornsby (A)",3890,14000,"nsw",3683.5,2314.9,3821,6140,2322.4
"Hunters Hill (A)",293,14100,"nsw",3740.4,1907.8,259,545,1843.2
"Hurstville (C)",1903,14150,"nsw",3498.0,2184.0,1088,2957,1289.8
